Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
embryo	3/27	0.002414151640777187184105923023480499978177249431610107421875	0.09173776234953311126130159891545190475881099700927734375	0.005087412084102001762209166457751052803359925746917724609375	0.19332165919587607216811875332496128976345062255859375	-1.9803248675052056	11.934244319209832	Apc2;Apc;hb
vitelline_membrane	2/16	0.0108885427427678586898007750960459816269576549530029296875	0.2068823121125893116367677748712594620883464813232421875	0.0191065345881667632277345347802111064083874225616455078125	0.363024157175168504796403112777625210583209991455078125	-2.5915166561961547	11.713769745736691	usp;tsl
late_embryo	5/151	0.018013744139092846552330229314975440502166748046875	0.22817409242850938966284957132302224636077880859375	0.03492598862316560748286775606175069697201251983642578125	0.442395855893431055871900525744422338902950286865234375	-1.2205764483063113	4.902592077926119	LanB1;PKD;hb;Ada2b;if
cycle_16_embryo	1/12	0.113644685341606155315474779854412190616130828857421875	0.490305586183164276992130226062727160751819610595703125	0.1471374006401505452057421052813879214227199554443359375	0.609508342128268765236498438753187656402587890625	-1.9706058452021904	4.28543415005518	hb
eye_disc_anterior_to_the_morphogenetic_furrow	1/15	0.1399872754826425869101313992359791882336139678955078125	0.490305586183164276992130226062727160751819610595703125	0.17802838395315345731972911380580626428127288818359375	0.609508342128268765236498438753187656402587890625	-1.901685562859717	3.73910128485061	upd1
antenna	2/57	0.111219313443966516530281296581961214542388916015625	0.490305586183164276992130226062727160751819610595703125	0.1588329849207666122357096583073143847286701202392578125	0.609508342128268765236498438753187656402587890625	-1.5356940586286218	3.372769965468686	hb;Est-6
retina	1/21	0.1903580664860554383377433396162814460694789886474609375	0.490305586183164276992130226062727160751819610595703125	0.2366363222265286669898642912812647409737110137939453125	0.609508342128268765236498438753187656402587890625	-1.99202628315737	3.3044696522644315	hb
imaginal_tissue	6/309	0.09064212645989255801026729386649094521999359130859375	0.490305586183164276992130226062727160751819610595703125	0.1682892293222146007369843800915987230837345123291015625	0.609508342128268765236498438753187656402587890625	-1.1708471962354428	2.81101233577402	Apc2;usp;gig;Apc;PKD;upd1
pupal_nervous_system	3/131	0.1438544802502450814518653032791917212307453155517578125	0.490305586183164276992130226062727160751819610595703125	0.2184526567587704859452202299507916904985904693603515625	0.609508342128268765236498438753187656402587890625	-1.2491852749215746	2.4221115915510794	PKD;hb;shot
cuticle	3/131	0.1438544802502450814518653032791917212307453155517578125	0.490305586183164276992130226062727160751819610595703125	0.2184526567587704859452202299507916904985904693603515625	0.609508342128268765236498438753187656402587890625	-1.216492800948131	2.3587224196185725	PKD;Wnt2;shot
