Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pupal_nervous_system	7/131	0.0003532221084277807382663383339860274645616300404071807861328125	0.015541772770822352700559321192486095242202281951904296875	0.009776339179626121478339229042830993421375751495361328125	0.377469496293608652859319363415124826133251190185546875	-1.741960531300894	13.845822597450812	nmo;Patj;cac;cpb;Ptp61F;mid;tim
somatic_precursor_cell	3/28	0.002684095996809282742845415015153776039369404315948486328125	0.039366741286536145738583769571050652302801609039306640625	0.017157704376982212124413962328617344610393047332763671875	0.377469496293608652859319363415124826133251190185546875	-2.2705211735561797	13.442419199619348	armi;mid;raw
adult_adipose_system	1/5	0.04901475379113140462550290976651012897491455078125	0.2396276852010868763098727640681318007409572601318359375	0.10384124529885811749618795829519513063132762908935546875	0.59871243132485230109551821442437358200550079345703125	-2.9192538584820675	8.803400981292464	NLaz
imaginal_disc	7/161	0.0012007225413376422344657878937823625165037810802459716796875	0.0264158959094281282908855956748084281571209430694580078125	0.02695288697234043961969973679515533149242401123046875	0.395309008927659799592646550081553868949413299560546875	-1.2130274560723213	8.157405593409136	Socs36E;nmo;dve;TSG101;cpb;caup;mid
adult_muscle_system	2/24	0.0237691211700333422662811955206052516587078571319580078125	0.1743068885802444845101177861579344607889652252197265625	0.0786841472538558350802162522086291573941707611083984375	0.59871243132485230109551821442437358200550079345703125	-1.8445385678249961	6.897408440924745	SERCA;clu
antennal_sense_organ	4/81	0.008869495481030102712605156511926907114684581756591796875	0.0823363689090792771896332169490051455795764923095703125	0.06405304425615680752326142055608215741813182830810546875	0.59871243132485230109551821442437358200550079345703125	-1.4000038196696318	6.615210357406897	dve;TSG101;cac;fred
adipose_system	1/7	0.0679445397297692432747595603359513916075229644775390625	0.258827965129142134603767999578849412500858306884765625	0.136071007119284603792408461231389082968235015869140625	0.59871243132485230109551821442437358200550079345703125	-2.428203925305675	6.529594543161937	NLaz
wing_cell	6/179	0.0093564055578499172316497833890025503933429718017578125	0.0823363689090792771896332169490051455795764923095703125	0.1095424011870191616235814535684767179191112518310546875	0.59871243132485230109551821442437358200550079345703125	-1.1838464284252206	5.530568355855189	nmo;dve;cpb;Hrb27C;caup;CG5110
compartment_boundary	2/32	0.04055574878162271357240342695149593055248260498046875	0.223056618298924924648218848233227618038654327392578125	0.12432524960518555323663036915604607202112674713134765625	0.59871243132485230109551821442437358200550079345703125	-1.6075986657793504	5.152478695760096	dve;caup
developmental_compartment	3/67	0.029571544231665573831957516404145280830562114715576171875	0.185878278027612198197715542846708558499813079833984375	0.130155910873383573456152362268767319619655609130859375	0.59871243132485230109551821442437358200550079345703125	-1.2580759434770514	4.429613338876421	dve;caup;raw
endocrine_cell	1/12	0.113644685341606155315474779854412190616130828857421875	0.32248789180558734557280331500805914402008056640625	0.2118055438457079053815590441445237956941127777099609375	0.7107888185947726089608522670459933578968048095703125	-1.8333003967911123	3.986838944402017	Atg16
chorion	2/45	0.07445882790665804551455408955007442273199558258056640625	0.258827965129142134603767999578849412500858306884765625	0.207888893913147076997205431325710378587245941162109375	0.7107888185947726089608522670459933578968048095703125	-1.3250186347719985	3.4417477652674013	pita;tim
female_organism	3/86	0.055149231100358318824472547703408054076135158538818359375	0.2426566168415766056032367714578867889940738677978515625	0.2153550332291387647831726326330681331455707550048828125	0.7107888185947726089608522670459933578968048095703125	-1.0115428107212716	2.9311602219773762	Socs36E;NLaz;ple
leg	1/13	0.122513559820385531384800970045034773647785186767578125	0.32248789180558734557280331500805914402008056640625	0.2261600786437913124249377005980932153761386871337890625	0.7107888185947726089608522670459933578968048095703125	-1.3473404331191303	2.8287864597325343	nmo
lateral_ectoderm	1/17	0.157114735787703796443537385130184702575206756591796875	0.32248789180558734557280331500805914402008056640625	0.281084883203303770304870567997568286955356597900390625	0.7538953643230759116278250075993128120899200439453125	-1.2803857453533782	2.3697109717355707	mid
internal_sense_organ	1/19	0.1739027682769471450097142906088265590369701385498046875	0.32248789180558734557280331500805914402008056640625	0.307110359340308891606952101938077248632907867431640625	0.7538953643230759116278250075993128120899200439453125	-1.2635498648197003	2.2102758958604	cac
posterior_ectoderm	1/19	0.1739027682769471450097142906088265590369701385498046875	0.32248789180558734557280331500805914402008056640625	0.307110359340308891606952101938077248632907867431640625	0.7538953643230759116278250075993128120899200439453125	-1.0205188321056144	1.785151689440059	mid
germline_cell	6/295	0.07647189878815562058544941237414604984223842620849609375	0.258827965129142134603767999578849412500858306884765625	0.468466251038666181560898849056684412062168121337890625	0.7538953643230759116278250075993128120899200439453125	-0.67101824588406	1.7250751400068192	armi;Socs36E;esg;raw;pAbp;eIF4A
larva	5/243	0.09742277465625369392565602311151451431214809417724609375	0.306185863205368724582200457007274962961673736572265625	0.47223689662329382255023801917559467256069183349609375	0.7538953643230759116278250075993128120899200439453125	-0.6927770404815835	1.6132666170757461	Gclc;dve;robo3;Ddx1;spok
compartment	1/22	0.19846299600733441348410224236431531608104705810546875	0.32248789180558734557280331500805914402008056640625	0.34444347082264925585803894136915914714336395263671875	0.7538953643230759116278250075993128120899200439453125	-0.9593901043552201	1.551480215422272	armi
midgut	4/196	0.133887235591719944149957655099569819867610931396484375	0.32248789180558734557280331500805914402008056640625	0.49688558103111823971431704194401390850543975830078125	0.7538953643230759116278250075993128120899200439453125	-0.6071202827608695	1.2207715762062523	rig;dve;esg;Hs3st-B
syncytium	2/76	0.176302997052065368865925165664521045982837677001953125	0.32248789180558734557280331500805914402008056640625	0.416011682878856259293343100580386817455291748046875	0.7538953643230759116278250075993128120899200439453125	-0.6898762853897538	1.1973156080573095	mahj;clu
ventral_ectoderm	1/23	0.2064871926604701091179094873950816690921783447265625	0.32248789180558734557280331500805914402008056640625	0.35644866808474251484994965721853077411651611328125	0.7538953643230759116278250075993128120899200439453125	-0.5958016979689571	0.9398872413501904	dve
somatic_cell	2/79	0.187077287479456233487695726580568589270114898681640625	0.32248789180558734557280331500805914402008056640625	0.435170410639374616312835541975800879299640655517578125	0.7538953643230759116278250075993128120899200439453125	-0.5465779142841531	0.9161921804860557	armi;Socs36E
male_organism	2/80	0.1906893135538006156526336098977481015026569366455078125	0.32248789180558734557280331500805914402008056640625	0.4414879840687466749926670672721229493618011474609375	0.7538953643230759116278250075993128120899200439453125	-0.5429731389472328	0.8997661129135721	NLaz;Ptp61F
wing_hinge	1/34	0.289648293804407541696122052599093876779079437255859375	0.3641292836398266619113428532727994024753570556640625	0.4752062027371886099302855654968880116939544677734375	0.7538953643230759116278250075993128120899200439453125	-0.6179738743342139	0.7657239328998858	caup
gastrula_embryo	1/32	0.2752014443740409266325741555192507803440093994140625	0.35614304566052357170491404758649878203868865966796875	0.455324834189785254690008287070668302476406097412109375	0.7538953643230759116278250075993128120899200439453125	-0.514614758570969	0.6639826826143387	esg
late_embryo	3/151	0.1925622975931250147052509191780700348317623138427734375	0.32248789180558734557280331500805914402008056640625	0.53678079293129765670045117076369933784008026123046875	0.77845960933827296202025536331348121166229248046875	-0.3496248542039485	0.5759494528044101	Patj;ple;Galphas
proventriculus	1/28	0.2454249146758181454597291804020642302930355072021484375	0.342421060852226399884301599740865640342235565185546875	0.41334760549258808826067479458288289606571197509765625	0.7538953643230759116278250075993128120899200439453125	-0.35337091141177956	0.4964028145289969	dve
imaginal_tissue	5/309	0.1980365644971750771485830000528949312865734100341796875	0.32248789180558734557280331500805914402008056640625	0.695292320019533338637529595871455967426300048828125	0.84386958764337871574667815366410650312900543212890625	-0.27511710075477613	0.4454981106171029	dve;TSG101;cpb;caup;mid
female_reproductive_system	1/49	0.389246209824994970905009950001840479671955108642578125	0.462887384656750722200513337156735360622406005859375	0.603458588754031577394698615535162389278411865234375	0.80461145167204206618549733320833183825016021728515625	-0.247633300820683	0.23365271842956953	armi
primordium	2/88	0.2198781080492640815915450502870953641831874847412109375	0.32248789180558734557280331500805914402008056640625	0.490679656935772812165197365175117738544940948486328125	0.7538953643230759116278250075993128120899200439453125	-0.0966096606390508	0.14633290824742864	dve;mid
dorsal_closure_embryo	1/49	0.389246209824994970905009950001840479671955108642578125	0.462887384656750722200513337156735360622406005859375	0.603458588754031577394698615535162389278411865234375	0.80461145167204206618549733320833183825016021728515625	-0.14442533155448312	0.13627154028138028	raw
compound_sense_organ	2/98	0.25681579563916978603543839199119247496128082275390625	0.342421060852226399884301599740865640342235565185546875	0.54846017930651047578294310369528830051422119140625	0.77845960933827296202025536331348121166229248046875	-0.025320745434342318	0.034420925113461995	Socs36E;tim
antenna	1/57	0.4365500297418041242281105951406061649322509765625	0.50547898180629946551789544173516333103179931640625	0.6588410702731379853247517530689947307109832763671875	0.8282573454862305339929662295617163181304931640625	0.012668420281996112	-0.010500249219640483	dve
blastoderm_embryo	1/94	0.61207609725344125362056502126506529748439788818359375	0.67328370697878536788039127714000642299652099609375	0.83139841430729199966975784263922832906246185302734375	0.90200544686425576657029523630626499652862548828125	0.17306086491472478	-0.08495534708004562	pAbp
photoreceptor	4/235	0.2094042039709418101534055267620715312659740447998046875	0.32248789180558734557280331500805914402008056640625	0.6454438656402345930729325118591077625751495361328125	0.8282573454862305339929662295617163181304931640625	0.08269832998741905	-0.12929792135412446	nmo;robo3;cac;mid
