Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
midgut	7/136	0.000442990382035312007906469045082076263497583568096160888671875	0.039426144001142769679457700249258778057992458343505859375	0.00256283984218413397881963788904613466002047061920166015625	0.2280927459543879154413303922410705126821994781494140625	-1.7216244379029662	13.294319347082906	usp;gig;rpr;Wnt2;peb;if;LysP
adult	2/14	0.008366126757472169828133701230399310588836669921875	0.1240975469025038524506499015842564404010772705078125	0.019358532807510812900897434474245528690516948699951171875	0.355954018324895760105874842338380403816699981689453125	-2.101513670614633	10.05272567525106	PKD;Rh5
abdomen	3/32	0.00394651013428358454770972230107872746884822845458984375	0.11707980065041301287465103087015450000762939453125	0.01135362756173489452715674730143291526474058628082275390625	0.355954018324895760105874842338380403816699981689453125	-1.728590209162232	9.567614744980734	fj;rpr;Wnt2
wing_cell	5/102	0.0036189372058130632285599670439069086569361388683319091796875	0.11707980065041301287465103087015450000762939453125	0.013750162999967750765417662250911234878003597259521484375	0.355954018324895760105874842338380403816699981689453125	-1.6160157102887402	9.084553332025044	fj;gro;rpr;Wnt2;if
pupa	5/117	0.006458865977281303023815883790348379989154636859893798828125	0.1240975469025038524506499015842564404010772705078125	0.0231667946788583940798122995374797028489410877227783203125	0.355954018324895760105874842338380403816699981689453125	-1.7706056685519802	8.927927657242122	usp;rpr;LysP;Rh5;numb
pupal_tracheal_system	2/18	0.01370234032549395679356774024881815421395003795623779296875	0.149479554977376916102826953647308982908725738525390625	0.0296262943276723415830797847547728451900184154510498046875	0.37667717073754836132337686649407260119915008544921875	-1.9964217135540498	8.565025744277943	usp;peb
internal_sense_organ	4/78	0.007781777262685364050798231261296677985228598117828369140625	0.1240975469025038524506499015842564404010772705078125	0.0239969001117907275444363079941467731259763240814208984375	0.355954018324895760105874842338380403816699981689453125	-1.5245022749199142	7.402938115273862	fj;gro;LysP;Rh5
intercalary_segment_sense_organ	1/5	0.04901475379113140462550290976651012897491455078125	0.1931409507855496865413869045369210653007030487060546875	0.07951010655772260127260864237541682086884975433349609375	0.410859500451533576903528910406748764216899871826171875	-2.198772628956817	6.63069334075057	btd
lateral_ventral_neurectoderm	2/22	0.020154546738522731430531820251417229883372783660888671875	0.149479554977376916102826953647308982908725738525390625	0.0416020157995415917895343227428384125232696533203125	0.410859500451533576903528910406748764216899871826171875	-1.644390634105115	6.420236073314082	btd;Wnt2
adult_nervous_system	3/63	0.025229113647139256304541277131647802889347076416015625	0.1681325557763115596809910812226007692515850067138671875	0.0596518737212799743385716055854572914540767669677734375	0.410859500451533576903528910406748764216899871826171875	-1.4669610581944779	5.398059706037491	usp;rpr;Elp3
muscle_system	4/102	0.0192903143891319482639001847701365477405488491058349609375	0.149479554977376916102826953647308982908725738525390625	0.0541903719903109315492173436723533086478710174560546875	0.410859500451533576903528910406748764216899871826171875	-1.313326396173051	5.18521244016635	gig;gro;Rh5;shot
sensillum	6/210	0.019222318876954212762964147032107575796544551849365234375	0.149479554977376916102826953647308982908725738525390625	0.06869500401059723537766643630675389431416988372802734375	0.410859500451533576903528910406748764216899871826171875	-1.2567647035521798	4.966336007547556	usp;rpr;Tdc1;Lcch3;Rh5;numb
